ID_PRECO;NU_PRAZO_DIAS_CORRIDOS;VL_PRECO
7829;0;0,5
7837;0;0,5
7841;0;0,5
7846;0;0,5
7848;0;0,5
7855;0;0,5
7859;0;0,5
7860;0;0,5
7862;0;0,5
7864;0;0,5
7865;0;0,5
8834;0;0,5
10911;0;0,5
10912;0;0,5
10923;0;0,5
10924;0;0,5
14170;0;0,5
14171;0;0,5
14172;0;0,5
14173;0;0,5
14196;0;0,5
14278;0;0,5
16619;0;0,5
60378;0;0,5
7829;1;0,50013222
7837;1;0,499993889
7841;1;0,498273997
7846;1;0,499999713
7848;1;0,500084921
7855;1;0,499990699
7859;1;0,50017179
7860;1;0,50004803
7862;1;0,500019966
7864;1;0,500021952
7865;1;0,500108587
8834;1;0,500132406
10911;1;0,499780676
10912;1;0,500795957
10923;1;0,498552871
10924;1;0,500020586
14170;1;0,499979292
14171;1;0,500019966
14172;1;0,4999659
14173;1;0,500019966
14196;1;0,500070383
14278;1;0,500094586
16619;1;0,499483628
60378;1;0,500019966
7829;2;0,50013222
7837;2;0,499987778
